accommodationId,accommodationName,addr1,addr2,addr3,addrNew,homepage,phoneNo,repName
4473,민트게스트하우스,전북,전주시 완산구,동서학동,서학로 27-2 (동서학동),mintguesthouse.modoo.at,010-****-**65,김*영
4474,우리집펜션(중복건),경남,하동군,화개면,화개면 가탄길 16,우리집펜션.com,010-****-**01,백*희
4475,마니펜션 솔밭점,제주특별자치도,서귀포시,성산읍,성산읍 난산온평로 71-32,www.mani77.com,053-*****-41,구*식
4476,하이부산 게스트하우스,부산,해운대구,우동,해운대해변로221번길 13 (우동),cafe.naver.com/hibusanguesthouse,010-****-**02,이*원
4477,여울목펜션(등록오류_5076),제주특별자치도,서귀포시,성산읍,성산읍 삼달로 28,여울목.com,164-***-66,이*정
4478,중문카라반-드랍/딜레이,제주특별자치도,서귀포시,대포동,이어도로 81 (대포동),없음,010-****-**45,한*호
4479,앙크레펜션,제주특별자치도,서귀포시,법환동,법환로58번길 39 (법환동),angkre.com,010-****-**91,권*경
4480,산방산탄산온천게스트하우스,제주특별자치도,서귀포시,안덕면,안덕면 사계북로41번길 172,www.sanbangsan.co.kr,010-****-**44,황*경
4481,산방산게스트하우스(업소키합침_8118),제주특별자치도,서귀포시,안덕면,안덕면 사계남로 217,blog.naver.com/sanbangsan0/220795388558,010-****-**50,진*영
4482,까사린다펜션,제주특별자치도,제주시,한림읍,한림읍 명월로6길 28,01058202609.tshome.co.kr,010-****-**09,이*자
4483,구름카푸치노 펜션,강원,춘천시,남산면,남산면 서천길 27-1,www.ccpension.com,010-****-**62,강*경
4484,골든비치모텔펜션,충남,보령시,신흑동,고잠2길 9 (신흑동),blog.naver.com/goldenbeach0664,010-****-**64,오*록
4485,원주힐링파크펜션&캠핑,강원,원주시,지정면,지정면 판관터길 73,munmakhealing.co.kr,010-****-**20,윤*호
4486,문막힐링레저파크캠핑장,강원,원주시,지정면,지정면 판관터길 73,munmakhealing.co.kr,010-****-**20,윤*호
4487,호명산캠프,경기,가평군,청평면,청평면 우무내길 158,hmcamping.co.kr,010-****-**53,조*옥
4488,남해이야기펜션,경남,남해군,삼동면,삼동면 동부대로1122번길 86,www.namhaestory.com,010-****-**37,한*순
4489,순천만 무진게스트하우스펜션,전남,순천시,대대동,순천만길 560 (대대동),mujinhostel.com,010-****-**77,황*덕
4490,대박펜션,경북,울릉군,울릉읍,울릉읍 울릉순환로 674,daevak2017.modoo.at,010-****-**86,홍*남
4491,경주 빅토리아일기,경북,경주시,양남면,양남면 솔숲2길 16,www.victoriadiary.kr,010-****-**92,김*정
4492,이너프펜션,경북,경주시,양남면,양남면 솔숲3길 10,www.e-nough.kr,010-****-**28,김*현
4493,파라다이스펜션,경북,경주시,천북면,천북면 목실길 14-45,www.paradisepension.kr,010-****-**65,백*덕
4494,이레캠핑장(업소키이관_1285),경기,가평군,상면,상면 청군로 1487,www.ercamp.net,031-*****-63,이*창
4495,오래된미래,전북,전주시 완산구,교동,바람쐬는길 35-19 (교동),blog.naver.com/ppf2015,010-****-**32,김*현
4496,까사델쏠펜션,강원,홍천군,서면,서면 한서로 1623-15,casadelsol.co.kr,010-****-**13,서*****명
4497,남양주스카이글램핑,경기,남양주시,수동면,수동면 지둔로445번안길 10-6,cafe.naver.com/skyglamping,010-****-**38,최*옥
4498,카라반에코빌리지,충남,홍성군,구항면,구항면 구성북로 229,caravanecovillage.com,041-*****-36,진*준
4499,용봉산산토리니글램핑,충남,홍성군,홍북읍,홍북읍 용봉산1길 15,blog.naver.com/cholongsan,154-***-17,이*라
4500,자연의소리펜션,충남,서산시,해미면,해미면 산수2길 149,www.soundofnature.kr,000-*******-09,최*옥
4501,양평베이스캠프,경기,양평군,양평읍,양평읍 경강로 2277-21,cafe.naver.com/kimcampcom,154-***-17,이*라
14502,뉴대명렌트카(주)경주지점,경북,경주시,감포읍,감포읍 감포로 329-34,xn--yj-vc9i935e81e.com,010-****-**64,조*각
14503,신두리정원글램핑,충남,태안군,원북면,원북면 신두로 690-57,www.sinduri-camping.com/main,010-****-**00,박*하
14504,바닷가펜션,강원,고성군,죽왕면,죽왕면 천학정길 65,,010-****-**35,김*순
14505,배그롤펜션,경기,가평군,청평면,청평면 호명리길 59,배그롤.com,010-****-**64,우*훈
14507,강릉해찬솔펜션,강원,강릉시,사천면,사천면 손맞이길 89,ihaechansol.co.kr,010-****-**52,l********u
14508,지인부펜션,강원,고성군,토성면,토성면 아야진해변길 16,zinbu.imweb.me/main,010-****-**00,장*남
14509,강릉 좋은날풀빌라,강원,강릉시,사천면,사천면 해안로 1185,www.gooddaypoolvilla.com,010-****-**99,이*민
14510,강릉 좋은곳풀빌라,강원,강릉시,사천면,사천면 해안로 1185,goodplacepoolvilla.com,010-****-**95,이*민
14512,햇살가득농장펜션,강원,인제군,인제읍,인제읍 한석산로 767-15,sun-shine7.co.kr,010-****-**48,한*자
14517,킹스하우스민박,강원특별자치도,강릉시,사천면,사천면 가둔지길 12,blog.naver.com/suk7104,010-****-**53,김*
14521,경포그곳에가면 펜션,강원,강릉시,초당동,해안로 381-2 (초당동),gothereps.co.kr,010-****-**17,송*현
14522,메종드아일랜드,인천,옹진군,영흥면,영흥면 영흥로757번길 59,www.maisondeisland.com/,010-****-**05,맹*상
